time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-03-30T05:08:26.764Z,16.9003,-98.4343,35,4.7,mb,,156,0.67,0.93,us,us70008iib,2020-03-31T03:12:26.184Z,"23km WNW of Xochistlahuaca, Mexico",earthquake,6.3,2,0.028,400,reviewed,us,us
2020-03-30T03:42:42.749Z,-0.2922,-80.0327,10,4.5,mb,,287,22.415,0.3,us,us70008ihp,2020-03-30T04:11:19.040Z,"41km S of Pedernales, Ecuador",earthquake,24.2,2,0.088,38,reviewed,us,us
2020-03-29T20:26:00.328Z,13.6286,-91.3701,10,4.6,mb,,196,0.944,1.16,us,us70008iee,2020-03-30T06:59:25.239Z,"61km SW of La Gomera, Guatemala",earthquake,7.6,2,0.051,113,reviewed,us,us
2020-03-29T18:19:13.508Z,-21.3862,169.4617,10,5.6,mww,,100,1.336,0.98,us,us70008ide,2020-03-30T18:21:16.994Z,"164km E of Tadine, New Caledonia",earthquake,9.5,1.9,0.075,17,reviewed,us,us
2020-03-29T18:02:40.982Z,31.01,-41.3462,10,5.1,mb,,112,21.935,1.18,us,us70008id7,2020-03-29T18:15:39.040Z,"Northern Mid-Atlantic Ridge",earthquake,14,1.9,0.066,74,reviewed,us,us
2020-03-29T13:33:47.812Z,-23.9723,-174.5516,10,5,mb,,127,6.058,0.77,us,us70008iap,2020-03-29T16:37:53.040Z,"295km S of `Ohonua, Tonga",earthquake,9.4,1.8,0.065,80,reviewed,us,us
2020-03-29T04:41:09.256Z,41.1856,72.8924,10,4.5,mb,,46,0.153,0.99,us,us70008i4c,2020-03-29T04:59:10.040Z,"20km NE of Bazar-Korgon, Kyrgyzstan",earthquake,3.8,1.9,0.079,47,reviewed,us,us
2020-03-29T04:34:25.542Z,37.2209,20.5777,10,4.5,mb,,138,1.076,1.15,us,us70008i45,2020-03-29T04:50:33.040Z,"59km SSW of Lithakia, Greece",earthquake,5.6,2,0.221,6,reviewed,us,us
2020-03-29T04:06:07.936Z,-58.626,-25.2427,35,4.9,mb,,83,7.595,0.54,us,us70008i3j,2020-03-29T04:24:41.040Z,"86km ENE of Bristol Island, South Sandwich Islands",earthquake,6.1,1.9,0.067,69,reviewed,us,us
2020-03-29T03:39:47.916Z,24.2048,124.1784,10,4.7,mww,,98,1.096,1.15,us,us70008i36,2020-03-29T04:01:53.040Z,"15km S of Ishigaki, Japan",earthquake,6.6,1.9,0.078,16,reviewed,us,us
2020-03-29T03:38:58.896Z,24.0857,124.1335,10,4.6,mb,,113,1.092,0.61,us,us70008i3a,2020-03-29T04:10:48.040Z,"28km S of Ishigaki, Japan",earthquake,4.8,1.9,0.112,24,reviewed,us,us
2020-03-29T02:46:01.785Z,-5.1724,144.1948,98.47,5.2,mb,,33,4.436,1.08,us,us70008i2l,2020-03-29T03:13:06.039Z,"64km ENE of Wabag, Papua New Guinea",earthquake,7.7,7.2,0.047,150,reviewed,us,us
2020-03-28T23:10:38.815Z,-7.1369,124.0599,597.46,5.3,mww,,31,2.34,0.7,us,us70008hzy,2020-03-28T23:27:06.040Z,"209km NE of Palue, Indonesia",earthquake,6.8,6.5,0.078,16,reviewed,us,us
2020-03-28T20:30:52.593Z,2.2884,-95.512,10,4.5,mb,,205,13.481,0.68,us,us70008hyi,2020-03-28T20:57:45.040Z,"Galapagos Islands, Ecuador region",earthquake,5.5,2,0.075,52,reviewed,us,us
2020-03-28T17:48:16.306Z,-17.779,168.2964,84,5.8,mww,,33,3.691,1.16,us,us70008hwi,2020-03-31T20:28:30.424Z,"5km SSW of Port-Vila, Vanuatu",earthquake,7.5,1.9,0.046,46,reviewed,us,us
2020-03-28T16:42:02.294Z,-35.6956,-73.7302,11.37,4.8,mb,,197,1.137,0.69,us,us70008hvt,2020-03-28T18:31:03.156Z,"123km NW of Tome, Chile",earthquake,7.8,6.6,0.161,12,reviewed,us,us
2020-03-28T15:43:17.679Z,-1.773,120.1864,10,5.8,mww,,36,2.684,1.3,us,us70008hvb,2020-03-29T15:45:35.040Z,"64km WNW of Pendolo, Indonesia",earthquake,5.9,1.9,0.075,17,reviewed,us,us
2020-03-28T15:11:39.836Z,-21.0731,-173.8681,10,4.7,mb,,109,4.203,0.91,us,us70008huy,2020-03-28T17:02:30.040Z,"115km ENE of `Ohonua, Tonga",earthquake,10.8,1.8,0.159,12,reviewed,us,us
2020-03-28T09:45:01.843Z,-11.0926,115.1879,25.55,4.5,mb,,118,2.798,1.3,us,us70008hs0,2020-03-28T10:29:33.040Z,"250km S of Kangin, Indonesia",earthquake,8.5,4,0.099,30,reviewed,us,us
2020-03-28T05:55:10.600Z,6.7897,-73.0575,162.85,4.9,mb,,78,2.305,1.07,us,us70008hq3,2020-03-28T17:42:04.733Z,"11km NNW of Aratoca, Colombia",earthquake,9.6,9.4,0.024,558,reviewed,us,us
2020-03-28T05:32:52.823Z,-1.2756,150.1978,10,5,mb,,96,2.931,0.67,us,us70008hpz,2020-03-28T05:52:10.040Z,"158km NNW of Kavieng, Papua New Guinea",earthquake,8,1.9,0.076,55,reviewed,us,us
2020-03-28T03:18:37.647Z,-32.4155,-72.0541,10,4.5,mb,,85,0.655,0.81,us,us70008hnu,2020-03-28T18:31:59.561Z,"77km W of La Ligua, Chile",earthquake,3.6,1.9,0.15,13,reviewed,us,us
2020-03-28T00:57:52.171Z,41.9281,142.4209,57.55,4.9,mww,,80,1.528,0.7,us,us70008hmk,2020-03-28T02:51:35.300Z,"45km S of Shizunai, Japan",earthquake,6.7,5.7,0.08,15,reviewed,us,us
2020-03-27T21:53:56.021Z,-10.9995,115.2578,10,4.5,mb,,117,2.739,1.01,us,us70008hkb,2020-03-27T22:14:23.040Z,"240km S of Kangin, Indonesia",earthquake,5.2,1.9,0.093,34,reviewed,us,us
2020-03-27T17:42:49.987Z,-28.8171,-63.155,590.64,5.2,mww,,23,5.505,0.86,us,us70008hc5,2020-03-28T13:57:27.040Z,"31km SW of Colonia Dora, Argentina",earthquake,8.1,4.9,0.098,10,reviewed,us,us
2020-03-27T14:32:47.914Z,0.2086,133.6114,10,5.6,mww,,102,3.392,1.26,us,us70008h8n,2020-03-28T14:34:40.102Z,"129km NNW of Manokwari, Indonesia",earthquake,8.9,1.9,0.08,15,reviewed,us,us
2020-03-27T10:43:43.990Z,31.8321,48.69,10,4.5,mb,,65,4.109,0.74,us,us70008h7a,2020-03-27T11:48:08.040Z,"28km SSW of Shushtar, Iran",earthquake,8,1.9,0.074,53,reviewed,us,us
2020-03-27T06:40:42.630Z,28.254,57.1174,10,5.3,mww,,70,3.395,0.83,us,us70008h58,2020-03-27T15:04:06.040Z,"117km SSE of Kuh Sefid, Iran",earthquake,7.6,1.8,0.098,10,reviewed,us,us
2020-03-27T06:27:19.363Z,-2.8463,139.4383,108.36,4.5,mb,,57,7.18,0.79,us,us70008h4x,2020-03-27T06:46:26.040Z,"129km W of Abepura, Indonesia",earthquake,11.5,9.5,0.108,25,reviewed,us,us
2020-03-27T02:49:04.323Z,-3.0509,139.0495,35,4.5,mb,,100,6.792,1.01,us,us70008h3r,2020-03-27T03:12:58.040Z,"176km WSW of Abepura, Indonesia",earthquake,3.9,2,0.116,22,reviewed,us,us
2020-03-27T01:10:00.225Z,-35.3243,-74.1524,10,4.6,mb,,149,3.609,0.75,us,us70008h2t,2020-03-27T01:40:25.040Z,"157km W of Constitucion, Chile",earthquake,8.3,1.8,0.104,28,reviewed,us,us
2020-03-26T23:45:58.654Z,14.7176,-93.237,35,4.7,mwr,,93,1.505,1.18,us,us70008h21,2020-03-27T03:14:20.980Z,"85km SW of Acapetagua, Mexico",earthquake,6.2,1.9,0.08,15,reviewed,us,us
2020-03-26T21:36:42.248Z,-2.9507,139.1131,38,5.7,mww,,13,6.855,0.8,us,us70008gtk,2020-03-27T21:43:59.121Z,"167km WSW of Abepura, Indonesia",earthquake,7.2,1.8,0.071,19,reviewed,us,us
2020-03-26T20:34:17.402Z,-35.5161,-94.2736,10,4.7,mb,,213,17.078,1.3,us,us70008grd,2020-03-26T21:16:08.040Z,"West Chile Rise",earthquake,10.7,2,0.093,35,reviewed,us,us
2020-03-26T20:24:53.650Z,-56.5994,-26.881,67.8,5.3,mww,,54,5.939,0.71,us,us70008gqs,2020-03-27T20:26:39.122Z,"22km ENE of Visokoi Island, South Georgia and the South Sandwich Islands",earthquake,10.4,6.4,0.08,15,reviewed,us,us
2020-03-26T15:38:04.150Z,5.5753,125.0531,59,6.1,mww,,11,1.574,1.32,us,us70008ghw,2020-03-28T14:53:41.588Z,"27km SW of Baliton, Philippines",earthquake,5.5,1.8,0.038,67,reviewed,us,us
2020-03-26T15:16:27.715Z,31.7078,-104.0386,6.64,5,mww,,43,0.224,0.78,us,us70008ggn,2020-04-01T15:49:09.104Z,"41km W of Mentone, Texas",earthquake,5.3,3.3,0.034,81,reviewed,us,us
2020-03-26T07:38:30.387Z,37.3242,20.4108,10,4.6,mb,,78,1.217,0.93,us,us70008g9q,2020-03-26T07:53:22.040Z,"57km SW of Mouzaki, Greece",earthquake,6.9,1.9,0.097,32,reviewed,us,us
2020-03-26T07:16:59.342Z,49.7204,154.3547,146.83,4.7,mb,,162,8.204,0.66,us,us70008g9i,2020-03-26T07:38:51.040Z,"165km SW of Severo-Kuril'sk, Russia",earthquake,13.3,9.5,0.068,66,reviewed,us,us
2020-03-26T07:12:45.401Z,5.3662,127.5122,46.22,4.8,mb,,118,2.56,0.74,us,us70008g9c,2020-03-26T15:58:02.974Z,"184km SE of Pondaguitan, Philippines",earthquake,9.1,8.4,0.139,16,reviewed,us,us
2020-03-26T07:09:26.653Z,35.9434,5.7988,10,5,mww,,66,4.127,0.92,us,us70008g9a,2020-03-28T20:25:02.040Z,"25km SSE of El Eulma, Algeria",earthquake,8.1,1.9,0.08,15,reviewed,us,us
2020-03-26T06:49:22.041Z,-3.0543,138.997,73.45,4.8,mb,,55,6.74,0.96,us,us70008g96,2020-03-26T07:12:43.040Z,"182km WSW of Abepura, Indonesia",earthquake,8.9,7.1,0.067,69,reviewed,us,us
2020-03-26T05:58:34.928Z,-19.935,-11.7917,10,5.1,mb,,110,27.31,0.81,us,us70008g8q,2020-03-26T06:17:14.040Z,"Southern Mid-Atlantic Ridge",earthquake,16,1.9,0.124,21,reviewed,us,us
2020-03-26T05:52:48.588Z,22.7122,143.2054,105.11,5.4,mww,,42,4.461,1.12,us,us70008g8i,2020-03-27T05:56:16.243Z,"297km NW of Farallon de Pajaros, Northern Mariana Islands",earthquake,7.5,4.1,0.078,16,reviewed,us,us
2020-03-26T05:22:07.253Z,48.8459,157.8373,10,4.6,mb,,136,4.214,0.75,us,us70008g85,2020-03-26T05:52:45.040Z,"238km SSE of Severo-Kuril'sk, Russia",earthquake,9.7,1.9,0.05,120,reviewed,us,us
2020-03-26T04:44:31.504Z,40.7726,70.5089,10,5,mb,,43,0.752,0.98,us,us70008g7s,2020-03-26T14:27:12.997Z,"17km NE of Asht, Tajikistan",earthquake,5,1.8,0.047,145,reviewed,us,us
2020-03-26T04:26:37.294Z,-8.9062,-108.6371,10,4.6,mb,,110,28.12,0.57,us,us70008g7m,2020-03-26T05:24:07.040Z,"Central East Pacific Rise",earthquake,14.7,1.9,0.054,102,reviewed,us,us
2020-03-25T23:15:19.029Z,2.3005,-101.2281,10,4.6,mb,,194,15.391,1.13,us,us70008g4t,2020-03-25T23:47:01.040Z,"Galapagos Triple Junction region",earthquake,13.2,1.9,0.059,85,reviewed,us,us
2020-03-25T22:12:04.049Z,-5.875,130.056,186.73,4.5,mb,,113,2.43,0.55,us,us70008g3x,2020-03-25T22:33:46.040Z,"268km NNW of Saumlaki, Indonesia",earthquake,12.6,11.1,0.221,6,reviewed,us,us
